movie_title,USA_and_Canada,Mexico,Central_America_&_Caribbean,Pais_Max_Recaudacion
Iron Man,319.03,15.95,1.37,Canada
The Incredible Hulk,134.81,12.65,0.7,Canada
Iron Man 2,312.43,18.4,6.57,Canada
Thor,181.03,19.55,5.29,Canada
Captain America: The First Avenger,176.65,20.22,3.84,Canada
The Avengers,623.36,61.75,11.73,Canada
Iron Man 3,409.01,48.57,8.84,Canada
Thor: The Dark World,206.36,23.86,7.84,Canada
Captain America: The Winter Soldier,259.77,25.72,6.7,Canada
Guardians of the Galaxy,333.72,19.65,9.94,Canada
Avengers: Age of Ultron,459.01,50.94,8.01,Canada
Ant-Man,180.2,15.1,2.77,Canada
Captain America: Civil War,408.08,41.42,11.04,Canada
Doctor Strange,232.64,13.59,4.39,Canada
Guardians of the Galaxy Vol. 2,389.81,19.01,3.27,Canada
Spider-Man: Homecoming,334.2,27.07,2.28,Canada
Thor: Ragnarok,315.06,21.25,4.73,Canada
Black Panther,700.43,28.32,7.34,Canada
Avengers: Infinity War,678.82,60.06,18.11,Canada
Ant-Man and the Wasp,216.65,14.96,3.3,Canada
Captain Marvel,426.83,33.31,6.71,Canada
Avengers: Endgame,858.37,77.59,14.36,Canada
Spider-Man: Far From Home,390.53,32.3,5.75,Canada
Black Widow,183.65,9.86,2.71,Canada
Shang-Chi and the Legend of the Ten Rings,224.54,7.67,2.85,Canada
Eternals,164.87,15.3,2.28,Canada
Spider-Man: No Way Home,804.62,75.85,36.72,Canada
